CID,CRPName,Party
N00037263,"Applegate, Douglas L",D
N00040610,"Aramayo, Vanessa",D
N00042898,"Arata, Larry",D
N00043105,"Araujo, Hector",D
N00043228,"Arcangel, Daniel",D
N00043176,"Archerd, Chuck",R
N00042048,"Arellano, Sergio",R
N00043394,"Arlett, Rob",R
N00042868,"Armstrong, Kelly",R
N00031949,"Arnold, David",3
N00030295,"Arnold, Keith",I
N00033403,"Arnold-Jones, Janice",R
N00042286,"Aronoff, Phillip",R
N00042089,"Arora, Harry",R
N00042556,"Arpaio, Joe",R
N00042600,"Arras, Jennifer O'Farrill",D
N00041602,"Arredondo-Lynch, Alma",R
N00038285,"Arrington, Jodey",R
N00041593,"Arrington, Katherine",R
N00040704,"Arroyave, Nathan",D
N00040716,"Ashby, Joseph",R
N00005697,"Ashby, Ken",L
N00005293,"Ashford, Brad",D
N00040378,"Athey, Ted",I
N00039636,"Aubin, Mark-Christian",R
N00042373,"Auman, Lee",D
N00042819,"Austin, Tony",D
N00043568,"Austin, Trudy A",I
N00041359,"Austinson, John Wayne",D
N00042425,"Auxier, Randy",3
N00043537,"Awgowhat, Leo",I
N00041104,"Axne, Cindy",D
N00043030,"Aycox, Kevin",D
N00041288,"Ayers, Cynthia",R
N00041034,"Ayyadurai, Shiva",I
N00042731,"Ayyas, Shadi",D
N00036877,"Azumah, Joel",3
N00041374,"Baake, David",D
N00005736,"Babin, Brian",R
N00007089,"Baca, Joe",D
N00042205,"Bacher, Steve",D
N00037049,"Bacon, Donald John",R
N00042198,"Bacon, Kevin",R
N00034281,"Badey, George",D
N00041559,"Baer, Dan",D
N00041785,"Baer, Lauren",D
N00041741,"Bailey, Bill",D
N00043179,"Bailey, Tom",L
N00041954,"Baird, Jim",R
N00036336,"Bakari, Kamau",3
N00043889,"Baker, David",3
N00042950,"Baker, Melina",L
N00042057,"Baker, Scott Allen 1972",R
N00042098,"Balaguer, Ariadna",R
N00040763,"Balat, David",R
N00036368,"Balchunis, Mary Ellen",D
N00042194,"Balderson, Troy",R
N00004367,"Baldwin, Tammy",D
N00041761,"Ball, Dan",R
N00039837,"Ball, Jody",R
N00043599,"Ballinger, Jeffrey",D
N00042122,"Ballock, Thomas",I
N00041854,"Balter, Dana",D
N00037185,"Banks, Jim",R
N00041457,"Banks, Jim",R
N00043253,"Banyas, Mickie Lou",R
N00043218,"Barajas, Ricky",D
N00041754,"Barash, Yona",R
N00025804,"Bardel, Hank",3
N00043077,"Baria, David",D
N00033200,"Barkley, Mike",D
N00025495,"Barletta, Lou",R
N00042917,"Barlow, Dawn",D
N00042997,"Barman, Charles",R
N00041534,"Barnes, Levy Jr",D
N00042201,"Barnett, Charles Rand",D
N00043209,"Barnhart, Rachel",D
N00042352,"Barnheiser, Robert",R
N00040969,"Barone, Roger",R
N00031233,"Barr, Andy",R
N00041989,"Barr, Robert",D
N00037019,"Barragan, Nanette",D
N00006236,"Barrasso, John A",R
N00041091,"Barreiro, Bruno",R
N00038828,"Barrera, Roy",D
N00041556,"Barrett, Michael",I
N00042801,"Barrington, Mark",R
N00043498,"Barris, Roger",L
N00042782,"Barro, Mary Helen",D
N00042668,"Barsoom, Raafat",R
N00043488,"Bartee, Tobey",3
N00041371,"Bartlett, John",D
N00037454,"Bartley, Lori",R
N00005656,"Barton, Joe",R
N00041042,"Bartos, Jeff",R
N00041494,"Barzee Flores, Mary",D
N00036660,"Basler, Doug",R
N00042476,"Bass, Bill",I
N00031877,"Bass, Karen",D
N00040664,"Bassilian, Ron",R
N00040849,"Bateson, Regina",D
N00041779,"Batie, Rontel",D
N00043712,"Batiste, Belden",I
N00042258,"Batiste, Donald",D
N00040854,"Battista, Lisa",D
N00043406,"Bauer, Jerome",3
N00038659,"Baugh, Scott",R
N00041717,"Baxter, Ralph",D
N00041190,"Beal, Brent",D
N00041164,"Beals, Jeff",D
N00042144,"Bear, Henry John",3
N00033904,"Beatty, Joyce",D
N00040873,"Beauregard, Pierre",D
N00043194,"Beck, Joel",R
N00040899,"Beck, Tobi",D
N00042935,"Becker, Nicholas",L
N00038849,"Bedell, Eileen",D
N00040851,"Bedolla, Mateo Morelos",D
N00034073,"Bedwell, Danny",L
N00043542,"Beeler, Jeffrey",R
N00043777,"Beeman, Ebert G",L
N00042802,"Been, Andrew",D
N00043240,"Beiler, Chet",R
N00042463,"Belanger, Brian D",R
N00013609,"Belforti, Dan",L
N00042825,"Belko, Jeremy",R
N00038795,"Bell, Adam",D
N00041197,"Bell, Adrienne",D
N00042911,"Bell, Barry",R
N00037241,"Bell, James Jerome",I
N00000871,"Bell, Jeff",R
N00041735,"Belle, Anita",3
N00032743,"Beloin, Gerald",R
N00041414,"Belote, Dave",D
N00040383,"Belusic, Claudio",L
N00041129,"Benac, David",D
N00041953,"Bender, Tyler",3
N00043639,"Benfer, William",I
N00040701,"Bennett, Douglas",R
N00041709,"Bennett, Jim",3
N00033625,"Bentivolio, Kerry",R
N00043443,"Bentley, Joyce",R
N00042072,"Bentley, Robert",R
N00041113,"Bequette, David",D
N00030717,"Bera, Ami",D
N00041272,"Beretta, James",R
N00039533,"Bergman, John",R
N00032405,"Bergmann, Charlotte",R
N00043697,"Berish, George L.",R
N00037017,"Bernal, Benny",R
N00042804,"Berrios, Joceline",I
N00041207,"Bershad, Ira",D
N00043971,"Beste, Russell",I
N00042231,"Bethel, Lander",D
N00042252,"Betts, William",R
N00031559,"Beutler, Jaime Herrera",R
N00042127,"Bevens, Matthew",R
N00034297,"Bey, Nikolay",R
N00041301,"Beyer, Augie",I
N00036018,"Beyer, Don",D
N00040822,"Bhuiyan, Mohammad Ali",R
N00043280,"Bhumitra, Arun K",R
N00042042,"Bible, Carl",I
N00043337,"Bicknell, Chadwick",R
N00042150,"Bieda, Steve",D
N00041881,"Biggan, John",D
N00041892,"Biggins, Julia",D
N00039293,"Biggs, Andy",R
N00042147,"Bignell, Mark",D
N00027462,"Bilirakis, Gus",R
N00041179,"Billie, Joe",R
N00042291,"Billups, Willie",R
N00034243,"Bilyeu, Sheila",D
N00043608,"Bird, Stoney",3
N00041209,"Birkenstock, Veronica",R
N00041918,"Bishop, Bob",D
N00043774,"Bishop, Dave",L
N00042445,"Bishop, Dave",L
N00036449,"Bishop, Mike",R
N00025292,"Bishop, Rob",R
N00041917,"Bishop, Ron",L
N00002674,"Bishop, Sanford",D
N00042452,"Bizon, Kimberly",D
N00041469,"Bjorkman, Tim",D
N00042488,"Black, Gwendolyn",D
N00030082,"Black, Phil",D
N00041126,"Black, Thereasa",D
N00003105,"Blackburn, Marsha",R
N00042374,"Blackmon, Anthony",R
N00042288,"Blanco, Jaimy",R
N00042462,"Blankenbeker, Lynne",R
N00042370,"Blankenship, Don",3
N00042158,"Blankenship, Seth",R
N00042684,"Blazek, Robert",R
N00039665,"Bledsoe, Bill",R
N00041307,"Bliatout, Bobby",D
N00039803,"Bliss, Mark",L
N00041592,"Bloom, Stephen",R
N00033744,"Blum, Rod",R
N00007727,"Blumenauer, Earl",D
N00005981,"Blunt, Jeffrey",L
N00026756,"Bly, Ray",R
N00042007,"Boatner, John",D
N00043245,"Boerio, Bibiana",D
N00041442,"Bohren, Jensen",D
N00042890,"Boice, Court",R
N00043468,"Boivin, Brad",R
N00040678,"Bolena, Donald",R
N00031805,"Boler, Mark",L
N00043879,"Boles, Gregory",L
N00040728,"Bolhafner, Susan",D
N00043181,"Bolinger, Larry",R
N00033474,"Bonamici, Suzanne",D
N00041818,"Bond, Tiffany",I
N00042453,"Bonds, Kristine",R
N00041516,"Bonham, Paul",R
N00042957,"Bonneau, Jered",I
N00035577,"Bonner, Jay",R
N00041440,"Booker, Tykiem",D
N00041985,"Boone, Tanya",D
N00024866,"Bordallo, Madeleine Z",D
N00042018,"Borrelli, Tamborine",3
N00042711,"Boser, Susan",D
N00035420,"Bost, Mike",R
N00041791,"Bourdeaux, Carolyn",D
N00041321,"Bourdeaux, Carolyn",D
N00041673,"Bourgeois, Jenna Marie",D
N00035465,"Bowden, Craig",L
N00043611,"Bowerman, Earl",R
N00041204,"Bowers, Harry",R
N00041589,"Boyajian, Don",D
N00042762,"Boyanton, Richard",R
N00040809,"Boyce, Chuck",R
N00031440,"Boyd, Will",D
N00035307,"Boyle, Brendan",D
N00042708,"Boyle, Dan",D
N00043073,"Bradley, James",R
N00041819,"Brady, Dwight",D
N00005883,"Brady, Kevin",R
N00001619,"Brady, Robert A",D
N00041037,"Brakey, Eric",R
N00042918,"Brandon, Stephen",D
N00043369,"Brannon, Mary",D
N00036013,"Brat, Dave",R
N00041731,"Braun, Mike",R
N00041658,"Braun, Steve",R
N00041436,"Breault, Joseph",R
N00040447,"Breckenridge, Rick",L
N00042361,"Bredesen, Philip",D
N00042347,"Brennan, Christopher",D
N00041515,"Brian, Lee",R
N00041093,"Bridges, Adam Wayne",D
N00041655,"Briel, Amy Murri",D
N00029838,"Bright, Bobby",R
N00035669,"Bright, Lee",R
N00042376,"Brill, David",D
N00041385,"Brindisi, Anthony",D
N00041024,"Brinson, Randy",R
N00042788,"Briscoe, John",R
N00043447,"Briscoe, Joyce",D
N00040623,"Brisee, Steven",D
N00043217,"Britt, Elysabeth",D
N00041919,"Brittain, Craig",R
N00039963,"Brixey, Benjamin",L
N00043151,"Broady, Flynn Jr",D
N00041994,"Brock, Rueben",D
N00041344,"Brolley, Matt",D
N00042148,"Brook, Martin",D
N00038640,"Brookins, Howard Jr",D
N00043576,"Brooks, Doris Flores",R
N00043527,"Brooks, James",R
N00034126,"Brooks, Janis",D
N00030910,"Brooks, Mo",R
N00032053,"Brooks, Sherry",R
N00033495,"Brooks, Susan",R
N00042787,"Brown, Aja",D
N00042574,"Brown, Alvin",D
N00036999,"Brown, Anthony",D
N00027066,"Brown, Brandon",D
N00041238,"Brown, Christine",D
N00041368,"Brown, David Wilson",D
N00042716,"Brown, Jordan",R
N00041681,"Brown, Lindsay",R
N00041715,"Brown, Lisa",D
N00042849,"Brown, Michael",D
N00037254,"Brown, Paul",R
N00039713,"Brown, Shaun",I
N00003535,"Brown, Sherrod",D
N00043047,"Brown, Stephen",R
N00042273,"Brown, Steve",D
N00034590,"Brown, Steve",L
N00041629,"Brown, Yolanda",D
N00042211,"Browning, Dean",R
N00041848,"Browning, Kate",D
N00034254,"Brownley, Julia",D
N00035139,"Brubaker, Richard",L
N00040710,"Bruce, George",R
N00033315,"Brueggemann, Dale",R
N00043616,"Brumbles, Joseph",R
N00042507,"Brunner, Earl",R
N00033163,"Brunson, Loy",R
N00042280,"Bruun, Bech",R
N00038791,"Bryan, Pat",D
N00043573,"Bryant, David R",R
N00041425,"Bryce, Randy",D
N00040880,"Buchan, Sean",R
N00042184,"Buchanan, Jarred",R
N00027626,"Buchanan, Vernon",R
N00030092,"Buchman, Joe",L
N00042576,"Buck, George",R
N00030829,"Buck, Ken",R
N00031227,"Bucshon, Larry",R
N00039551,"Budd, Ted",R
N00042401,"Bulger, Jason",I
N00041850,"Bunkeddeko, Adem",D
N00041987,"Bunny, Sean",D
N00043680,"Burb, Zachary B",3
N00041192,"Burch, Lorie",D
N00041594,"Burchett, Tim",R
N00042189,"Burgess, James E",R
N00025219,"Burgess, Michael",R
N00041886,"Burkett, Mary",R
N00040252,"Burkette, Billy",I
N00041408,"Burkhart, Eric",R
N00043079,"Burleigh, Danny",D
N00041858,"Burnette, Eric",D
N00043442,"Burns, Bob",R
N00042946,"Burns, Cullen",L
N00042910,"Burns, Mark",R
N00041633,"Burum, Jeffrey",R
N00043972,"Busa, Bruce",I
N00042553,"Busby, Gerald Lee",I
N00041116,"Bush, Aaron Michael",D
N00039373,"Bush, Cori",D
N00041317,"Bush, Diane Mitsch",D
N00033390,"Bustos, Cheri",D
N00043037,"Butler, Jineea",R
N00043635,"Butler, Jon",I
N00040764,"Butler, Joshua A",D
N00040872,"Butner, Josh",D
N00042779,"Buttar, Shahid",D
N00027035,"Butterfield, G K",D
N00042192,"Butts, Pamela Pinkney",D
N00035380,"Byrne, Bradley",R
N00043222,"Byrne, Michael",D
N00040647,"Cabildo, Maria",D
N00039948,"Cadena , Angel",R
N00034726,"Cadien, Tawana",D
N00033505,"Caffrey, Andy",D
N00038607,"Caforio, Bryan",D
N00041054,"Cain, Butler",D
N00040178,"Caiozzo, Salvatore",R
N00041067,"Calderon, Roza",D
N00041814,"Caldwell, Kevin",L
N00043100,"Caldwell, Randy",R
N00041271,"Caldwell, Vann",D
N00042820,"Caligiuri, Ginny",R
N00043016,"Callahan, David",R
N00041528,"Callahan, Mark",R
N00042920,"Callaway, Jeff",L
N00043317,"Callesto, Chuck",R
N00028579,"Callis, Michael",R
N00007099,"Calvert, Ken",R
N00041829,"Cambers, Kress",R
N00041346,"Cameron, Craig",R
N00040871,"Campa-Najjar, Ammar",D
N00042108,"Campagna, Sheryl",D
N00042233,"Campbell, Danny",R
N00041138,"Campbell, Doug",I
N00041619,"Campbell, Japheth",L
N00013089,"Campbell, Mike",R
N00041738,"Campbell, Tom",R
N00042978,"Campbell, Tony",R
N00041311,"Camper, Candance",R
N00042304,"Campos, Allen",D
N00040611,"Campoverdi, Alejandra",D
N00043102,"Canada, Tom",L
N00041880,"Canales, Judy",D
N00043717,"Candler, Andrew",R
N00038436,"Cano, Christian",D
N00041347,"Canon, Dan",D
N00038633,"Canova, Tim",I
N00026722,"Canseco, Quico",R
N00041405,"Cantu, James",R
N00007836,"Cantwell, Maria",D
N00000267,"Capuano, Michael E",D
N00033544,"Caraway, Barbara Mallory",D
N00037015,"Carbajal, Salud",D
N00042571,"Cardenas, Beatrice",R
N00033373,"Cardenas, Tony",D
N00001955,"Cardin, Ben",D
N00043753,"Cardinal, Paul",D
N00042956,"Carey, Pete",3
N00034135,"Cargas, James",D
N00043569,"Carico, John",I
N00043606,"Carlson, Collin Richard",I
N00043423,"Carlson, Kristen",D
N00042872,"Carlson, Rob",D
N00032688,"Carlson, Steve",D
N00039427,"Carlton, Todd",D
N00040612,"Carmona, Arturo",D
N00043722,"Carney, Bob",R
N00043773,"Carney, Michael",L
N00040944,"Carp, Evan",R
N00042350,"Carpenter, Crystal",I
N00036120,"Carpenter, Douglas",D
N00012508,"Carper, Tom",D
N00004098,"Carr, Bob",R
N00041693,"Carrigan, Sean",D
N00041703,"Carrillo, John Rene",D
N00040598,"Carrillo, Wendy",D
N00042070,"Carroll, Brian",I
N00007498,"Carroll, Jerry Leon",I
N00029513,"Carson, Andre",D
N00042451,"Carter, Anthony",D
N00035346,"Carter, Buddy",R
N00025095,"Carter, John",R
N00042879,"Carter, Patrick",R
N00034128,"Cartwright, Matt",D
N00041315,"Casara, Daniel",R
N00040977,"Casas, Mason",D
N00025882,"Case, Ed",D
N00027503,"Casey, Bob",D
N00038807,"Casey, Keith",R
N00025817,"Casey, Thomas",D
N00036093,"Casson, Thomas",I
N00043366,"Castaldo, Richard",L
N00041074,"Castaneda, Julio",I
N00041338,"Casten, Sean",D
N00043050,"Castillo, Lee",D
N00027514,"Castor, Kathy",D
N00033316,"Castro, Joaquin",D
N00040639,"Cavanaugh, Kevin",R
N00027227,"Cavasso, Cam",R
N00041999,"Cerilli, Gina",D
N00003689,"Chabot, Steve",R
N00040668,"Chadwick, Gloria",D
N00036537,"Chaffee, Chris",R
N00042153,"Chamberlin, Christopher",R
N00043720,"Champion, Bobby Joe",D
N00042136,"Chandler, Alexandra",D
N00043138,"Chapin, Dan R",I
N00010148,"Charbonneau, Mary Jean",I
N00034591,"Charles, Richard",I
N00043633,"Chase, Brad",3
N00042214,"Chastain, Chris",D
N00041661,"Chatlos, Rob",D
N00042495,"Chauncey, Shelly",D
N00041519,"Chavez, Annie",D
N00042257,"Chavez, Norma",D
N00036918,"Chavez, Rocky",R
N00041070,"Cheader, Robert Neil",I
N00034603,"Cheadle, Gregory",R
N00043804,"Cheeks, John C",I
N00034000,"Chen, Jay",D
N00041339,"Cheney, Carole",D
N00035504,"Cheney, Liz",R
N00043504,"Cherfilus-Mccormick, Sheila",D
N00036868,"Cherny, Dimitri",R
N00042156,"Chery, Jacques",D
N00041836,"Chesser, Allen",R
N00042695,"Chiero, Gary",R
N00043033,"Chillara, Sridhar",R
N00042106,"Chin, Doug",D
N00042099,"Chirino, Angie",R
N00043204,"Choudhury, Mizanur",D
N00041182,"Chrin, John",R
N00041229,"Christensen, Jason",3
N00041043,"Christiana, Jim",R
N00042433,"Christie, Jennifer",D
N00030600,"Chu, Judy",D
N00042823,"Chubb, Larry",D
N00042934,"Churchman, Peter",L
N00043448,"Ciardullo, Joe",3
N00032019,"Cicilline, David",D
N00040168,"Cimbrelo, Bill",D
N00043683,"Cipolla, John E",3
N00041464,"Cisneros, Gil",D
N00041111,"Clark, Anthony",D
N00043828,"Clark, Daniel",I
N00043236,"Clark, David",D
N00035278,"Clark, Katherine",D
N00043053,"Clark, Ken",R
N00038836,"Clark, Mike",D
N00026961,"Clarke, Yvette D",D
N00042175,"Clarkson, Gavin",R
N00041689,"Clasby, James Brian",I
N00040879,"Clay, Nathan",3
N00012460,"Clay, William L Jr",D
N00025105,"Claytor, Chris",L
N00043110,"Claytor, Reginald H",I
N00026790,"Cleaver, Emanuel",D
N00040911,"Cleaves, Phil",D
N00041381,"Clegg, Dave",D
N00035238,"Clements, Paul",D
N00036267,"Clemmons, Chris",L
N00036373,"Cleveland, Hosea",D
N00042079,"Clifford, David",R
N00042296,"Cline, Ben",R
N00041882,"Cloud, Michael",R
N00002408,"Clyburn, James E",D
N00040717,"Cobb, Alan Earl",R
N00041382,"Cobb, Tedra",D
N00042168,"Cobert, Mitchell",D
N00041460,"Cockburn, Leslie",D
N00031451,"Coday, Art",R
N00041147,"Coffay, Matt",D
N00041639,"Coffman, Bob",D
N00024753,"Coffman, Mike",R
N00043449,"Cohen, Bob",3
N00042484,"Cohen, Lawrence",R
N00038408,"Cohen, Ron",R
N00003225,"Cohen, Steve",D
N00038717,"Coker, Adam",D
N00040602,"Cole, Darren",D
N00041526,"Cole, Erin",D
N00025726,"Cole, Tom",R
N00040745,"Coleman, Andy",R
N00036158,"Coleman, Bonnie",D
N00041976,"Coleman, Linda",D
N00042661,"Collias, Gina",R
N00041867,"Collica, Chip",I
N00042885,"Collier, Erin",D
N00001285,"Collins, Chris",R
N00033518,"Collins, Doug",R
N00042611,"Collins, Joe Edward",D
N00040694,"Collins, Kellie",D
N00040702,"Colombo, Nathan",D
N00042689,"Colton, Keith C",R
N00043082,"Colvin, Alicia",R
N00041812,"Colvin, Jesse",D
N00043318,"Combee, Neil",R
N00041476,"Combs, Gwendolynn Millen",D
N00042475,"Comegys, Scott",D
N00038260,"Comer, James",R
N00042298,"Comer, Natasha Venita",D
N00036023,"Comstock, Barbara",R
N00026041,"Conaway, Mike",R
N00025431,"Condit, Jim Jr",3
N00042931,"Conley, Don III",L
N00040756,"Connelly, Chad",R
N00041806,"Conner, Phillip",D
N00029891,"Connolly, Gerry",D
N00042855,"Conyers, Ian",D
N00042454,"Conyers, John III",D
N00004029,"Conyers, John Jr",D
N00042518,"Cook, John W",R
N00034224,"Cook, Paul",R
N00043024,"Cooper, Bridgette",R
N00042815,"Cooper, Dave",D
N00003132,"Cooper, Jim",D
N00042103,"Cooper, Jimmy",3
N00042506,"Cooper, John",R
N00036059,"Cope, Ken",R
N00043342,"Copeland, Maurice",3
N00041474,"Copley, Bo",R
N00041891,"Coppola, Sergio",D
N00041859,"Corbin-Johnson, Shavonnia",D
N00043501,"Corby-O'Neill, Ruby",R
N00035056,"Corey, Matthew",R
N00027441,"Corker, Bob",R
N00042503,"Corlew, Bob",R
N00037260,"Correa, Lou",D
N00043887,"Corriher, Robert",3
N00042074,"Cortes Barragan, Rodolfo",3
N00043543,"Cortney, Michael",R
N00042755,"Coson, Gary",R
N00026341,"Costa, Jim",D
N00043813,"Costa, Michael",I
N00038661,"Costello, Fred",R
N00031064,"Costello, Ryan",R
N00041220,"Cottam, Bringham Rhead",R
N00043014,"Cottrell, Dana",D
N00042839,"Couch, John",R
N00024842,"Courtney, Joe",D
N00039102,"Covington, Rachel",R
N00042816,"Cowen, Martin",L
N00041634,"Cox, Steve",I
N00028122,"Cox, TJ",D
N00041040,"Craddock, Jay",D
N00037039,"Craig, Angie",D
N00042904,"Craig, Christine",D
N00039711,"Craig, Ray",R
N00043407,"Crain, Jo",3
N00004614,"Cramer, Kevin",R
N00030990,"Cramer, Tom",D
N00039419,"Crary, Jim",D
N00042630,"Craven , Mike",R
N00035619,"Crawford, Dennis",D
N00030770,"Crawford, Rick",R
N00042224,"Crenshaw, Dan",R
N00043281,"Crew, John ""Jack""",R
N00041659,"Crider, Mike",R
N00025648,"Crim, Larry R",R
N00002942,"Crist, Charlie",D
N00040674,"Cristiani, Calen",D
N00042932,"Cristo, Anthony",L
N00043440,"Crochetiere, Bruce",R
N00043293,"Cronhardt, Evan",R
N00043939,"Crook, Robert F",3
N00041530,"Crossey, Michael J",D
N00040876,"Crow, Jason",D
N00030557,"Crow, Robert",D
N00040982,"Crowe, Derrick",D
N00042407,"Crowley, John",D
N00001127,"Crowley, Joseph",D
N00042343,"Crutcher, Chanda Mills",I
N00042557,"Cruz, Erin",R
N00033085,"Cruz, Ted",R
N00040481,"Cubbler, Scott",I
N00024978,"Cuellar, Henry",D
N00009738,"Culberson, John",R
N00043137,"Cullen, Jeffrey",R
N00038790,"Culler, Anthony",R
N00041416,"Cullop, Ben",D
N00034497,"Cullum, John",R
N00043647,"Cumings, Christopher",D
N00043015,"Cummings, Dave",R
N00001971,"Cummings, Elijah E",D
N00041400,"Cunningham, Joe",D
N00028439,"Cunningham, Robb",L
N00042165,"Cunningham, William",D
N00035403,"Curbelo, Carlos",R
N00043698,"Curtis , Ron",R
N00041221,"Curtis, John",R
N00041348,"Curtis, Tod",D
N00043464,"Cutright, Judith",I
N00041647,"D'Alessandro, Pete",D
N00039564,"D'Silva, Reuben",D
N00041364,"Dacey, Scott",R
N00041653,"Dady, Sara",D
N00042824,"Daggett, Tony",D
N00035563,"Dagnesses, Rafael",R
N00041946,"Dahl, Paul",D
N00031336,"Dahm, Nathan Ryan",R
N00043234,"Daley, Mary Jo",D
N00043011,"Daly, Paul",I
N00042241,"Dandridge, Shawn",R
N00040970,"Daniels, Sheldon",R
N00042094,"Darius, Wade",D
N00041811,"Das, Abhijit Beej",D
N00041422,"Das, Mona",D
N00042786,"Dash, Stacey",R
N00033827,"Daugherty, Rick",D
N00042500,"David, Dan",R
N00041404,"David, Steven",D
N00042626,"Davids, Sharice",D
N00041828,"Davidson, DeMarco",D
N00042903,"Davidson, Margo",D
N00040913,"Davidson, Rob",D
N00038767,"Davidson, Warren",R
N00042726,"Davis, Adam",3
N00004884,"Davis, Danny K",D
N00042840,"Davis, J Jason",R
N00042783,"Davis, James",I
N00042213,"Davis, John Timothy",D
N00041563,"Davis, Melissa",D
N00041466,"Davis, Pat",D
N00041471,"Davis, Paul",D
N00041805,"Davis, Paul",D
N00040556,"Davis, Richard H",D
N00042449,"Davis, Richmond",R
N00034784,"Davis, Rodney",R
N00009604,"Davis, Susan A",D
N00042522,"Davison, Johnathan",R
N00041214,"Daw, Brad",R
N00036127,"Day, Roger",D
N00033328,"Day, Tim",R
N00041215,"Dayton, Margaret",R
N00040637,"De La Fuente, Ricardo",D
N00038339,"De La Fuente, Rocky",R
N00041514,"De La Torre, John Farmer",D
N00042033,"De Leon, Kevin",D
N00041290,"De Stefano, Stefano",R
N00043634,"Deal, James Robert",3
N00040826,"Deam, Dirk",D
N00043256,"Dean, Glen",R
N00041923,"Dean, James",R
N00042894,"Dean, Madeleine",D
N00041924,"Dean, Sarah",D
N00042429,"Debates, Jaye",R
N00041524,"Debono, Dan",R
N00041160,"Decillis, Mike",D
N00042724,"Dee, Michael",I
N00042234,"Deen, Sam",R
N00007781,"DeFazio, Peter",D
N00006134,"DeGette, Diana",D
N00041600,"Degrow, Richie",D
N00043120,"Deitch, Douglas",D
N00042034,"Del Rio, Martin",D
N00040388,"Delaney, Dan",L
N00000615,"DeLauro, Rosa L",D
N00030693,"DelBene, Suzan",D
N00040741,"Delgado, Antonio",D
N00041388,"Della Pia, Max",D
N00026048,"Delong, Paul",R
N00041832,"Demapan, Angel Aldan",R
N00042442,"Demarco , Adam D.",D
N00042092,"Demarco, Adam",D
